Sample,Date,Week ,Month,LATITUDE_Y,LONGITUDE_X,Site,City,Microcystin,TDFe,pH,DOC,TKP,TKN,NH3,Nox,NO2,Cl,SO4,16S,Microcystis_mcyA,Anabaena_mcyA,Planktothrix_mcyA
4-21910001,6/12/2018,4,June,41.29261,-93.59564,Lake_Ahquabi_Beach,INDIANOLA,0.157,12.4,7.71,6.713,1.64,0.294,0.784,0,0.0022,2.473,43.475,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4-21150001,6/12/2018,4,June,41.42801,-94.78194,Lake_Anita_Beach,ANITA,0.303,8.97,9,6.495,1.518,0.477,0.691,0.012,0.0079,10.571,12.461,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4-21920001,6/12/2018,4,June,41.2015,-91.90524,Lake_Darling_Beach,BRIGHTON,0.455,12.5,8.4,4.994,1.144,0.492,-0.002,0.011,0.003,10.47,8.988,1.44E+06,3.11E+03,0.00E+00,0.00E+00
4-21620001,6/12/2018,4,June,41.29514,-92.53733,Lake_Keomah_Beach,OSKALOOSA,5.195,14.1,8.31,6.845,1.685,0.415,0.759,1.306,0.0746,20.806,10.601,2.51E+06,4.75E+04,0.00E+00,0.00E+00
4-21520001,6/12/2018,4,June,41.7935,-91.57311,Lake_Macbride_Beach,SOLON,0.347,12,8.63,6.349,1.354,0.423,0.621,0.004,0.0028,20.992,26.53,3.10E+06,3.48E+03,0.00E+00,0.00E+00
4-21780001,6/12/2018,4,June,41.20518,-95.85738,Lake_Manawa_Beach,COUNCIL BLUFFS,13.64,19.9,8.38,5.833,1.118,0.633,0.006,0.047,0.0096,33.007,14.796,5.10E+06,2.06E+05,0.00E+00,0.00E+00
4-21870001,6/12/2018,4,June,40.70991,-94.68961,Lake_of_Three_Fires_Beach,BEDFORD,0.438,13.4,8.7,3.699,1.191,0.509,0.061,0.019,0.007,29.309,22.371,5.93E+06,1.96E+04,0.00E+00,0.00E+00
4-21260001,6/12/2018,4,June,40.81961,-92.57458,Lake_Wapello,DRAKESVILLE,11.04,10.3,8.6,9.265,1.224,0.509,-0.018,0.316,0.0488,7.698,9.8,1.16E+06,1.52E+04,0.00E+00,0.00E+00
4-21670001,6/12/2018,4,June,42.29637,-95.02906,Lewis_and_Clark,ONAWA,0.27,15.4,7.76,6.356,1.419,0.372,1.172,-0.008,0.0032,3.766,9.294,4.90E+06,1.68E+03,0.00E+00,0.00E+00
4-21420001,6/12/2018,4,June,42.36695,-93.07805,Lower_Pine_Lake_Beach,ELDORA,0.095,15.4,8.7,6.485,1.171,0.596,0.076,0.033,0.0098,9.744,59.763,3.22E+06,8.83E+02,0.00E+00,0.00E+00
4-21170002,6/12/2018,4,June,43.120293,-93.458859,McIntosh_Woods_Beach,VENTURA,0.03,14.6,8.7,2.978,1.468,0.332,0.568,3.128,0.1097,15.635,10.041,5.10E+06,3.30E+03,0.00E+00,0.00E+00
4-21270001,6/12/2018,4,June,40.59674,-93.7723,Nine_Eagles_Beach,DAVIS CITY,4.485,16.2,8.3,6.832,1.459,0.409,1.147,0.144,0.0184,14.412,10.613,1.73E+06,8.39E+04,0.00E+00,0.00E+00
4-21130002,6/12/2018,4,June,42.479711,-94.633626,North_Twin_Lake_East_Beach ,ROCKWELL CITY,0.093,12.7,9.13,13.76,1.387,0.327,1.12,-0.008,0.0026,1.671,4.023,4.35E+06,1.86E+03,0.00E+00,0.00E+00
4-21130001,6/12/2018,4,June,42.47907,-94.636946,North_Twin_Lake_West_Beach ,ROCKWELL CITY,1.538,12.6,8.1,5.81,1.111,0.666,0.366,0.081,0.0144,28.057,52.164,2.89E+06,3.36E+04,0.00E+00,0.00E+00
4-21300002,6/12/2018,4,June,43.415488,-95.164669,Pikes_Point_Beach,MILFORD,0.587,13.3,8.3,5.796,1.134,0.779,0.238,0.088,0.0179,28.455,51.973,2.09E+06,1.47E+04,0.00E+00,0.00E+00
4-21830001,6/12/2018,4,June,41.60113,-95.22643,Prairie_Rose_Beach,HARLAN,0.17,14,8.3,4.864,1.445,0.497,1.044,0.008,0.0052,25.317,16.713,3.19E+02,0.00E+00,0.00E+00,0.00E+00
4-21590001,6/12/2018,4,June,41.00091,-93.272,Red_Haw_Beach,CHARITON,0.097,11.9,8.9,4.101,1.165,0.468,0.001,0.081,0.01,13.23,9.868,2.56E+06,2.77E+03,0.00E+00,0.00E+00
4-21500001,6/12/2018,4,June,41.73963,-92.85499,Rock_Creek_Beach,KELLOGG,0.145,13.6,8.9,7.151,1.422,0.486,0.548,0.008,0.005,5.798,8.754,1.18E+06,2.86E+02,0.00E+00,0.00E+00
4-21390001,6/12/2018,4,June,41.77603,-94.4667,Springbrook_Beach,GUTHRIE CENTER,0,12.8,8.1,3.718,1.587,0.45,0.728,1.527,0.1331,15.422,14.825,5.39E+06,2.86E+03,0.00E+00,0.00E+00
4-21300003,6/12/2018,4,June,42.128721,-92.72652,Triboji_Beach,MILFORD,0,14,8.8,2.515,1.094,0.621,0.077,2.202,0.0766,8.362,10.723,1.08E+07,4.89E+03,0.00E+00,0.00E+00
4-21860001,6/12/2018,4,June,42.12505,-92.72008,Union_Grove_Beach,GLADBROOK,0.025,14,8.3,5,1.497,0.413,0.47,0.043,0.0031,24.762,17.34,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4-21690001,6/12/2018,4,June,40.976,-95.02935,Viking_Lake_Beach,STANTON,0.117,12.1,7.92,4.481,1.183,0.56,0.017,1.555,0.0712,14.373,15.358,2.16E+06,9.19E+03,0.00E+00,0.00E+00
5-21280001,6/19/2018,5,June,42.601715,-91.534234,Backbone_Beach,DUNDEE,0.46,13.7,8.4,6.215,1.123,0.539,0.012,0.024,0.0032,8.407,5.751,4.14E+06,2.09E+04,0.00E+00,2.00E+04
5-21350001,6/19/2018,5,June,42.77043,-93.23654,Beeds_Lake,HAMPTON,0.108,15.1,7.7,3.105,1.113,0.416,0.1,9.143,0.0755,13.422,17.806,9.27E+06,1.96E+03,0.00E+00,0.00E+00
5-21770001,6/19/2018,5,June,41.79395,-93.73185,Big_Creek_Beach,POLK CITY,0.185,12.3,8.2,2.883,1.031,0.435,0.001,4.965,0.0804,18.407,12.78,5.36E+06,0.00E+00,0.00E+00,0.00E+00
5-21810002,6/19/2018,5,June,42.29637,-95.02906,Black_Hawk_Beach,LAKE VIEW,0.35,14.6,8.13,5.706,0.973,0.383,-0.031,0.065,0.0049,24.487,14.977,3.17E+06,2.70E+04,0.00E+00,0.00E+00
5-21940001,6/19/2018,5,June,42.38858,-93.97857,Brushy_Creek_Beach,LEHIGH,0.032,15.2,7.66,3.366,1,0.502,0.039,9.003,0.0933,16.988,15.919,6.88E+06,7.89E+03,0.00E+00,0.00E+00
5-21170001,6/19/2018,5,June,43.12524,-93.41469,Clear_Lake,CLEAR LAKE,0.835,12.1,8.1,5.379,1.003,0.529,-0.016,0.004,0.006,14.156,8.172,5.02E+06,4.08E+04,0.00E+00,0.00E+00
5-21300005,6/19/2018,5,June,43.496339,-95.120872,Crandalls_Beach,MILFORD,0.582,13.5,7.96,5.125,1.043,0.334,0.07,0.073,0.0107,18.388,18.213,2.51E+06,3.34E+04,0.00E+00,0.00E+00
5-21810001,6/19/2018,5,June,42.30153,-95.036022,Denison_Beach,LAKE VIEW,1.055,13.3,7.99,5.62,1.042,0.461,-0.003,0.068,0.0099,25.232,19.548,5.12E+06,4.84E+04,0.00E+00,0.00E+00
5-21300004,6/19/2018,5,June,43.356726,-95.175393,Emerson_Bay_Beach,MILFORD,0.23,14.8,7.95,5.266,0.943,0.522,-0.001,0.005,0.0047,24.814,17.29,7.04E+06,1.15E+04,0.00E+00,0.00E+00
5-21070001,6/19/2018,5,June,42.53497,-92.40055,George_Wyth_Beach,WATERLOO,0.188,17.6,9,4.221,1.278,0.45,-0.015,0.034,0.0031,53.962,16.833,1.62E+06,5.47E+03,0.00E+00,0.00E+00
5-21880001,6/19/2018,5,June,41.09832,-94.38405,Green_Valley_Beach,CRESTON,11.41,14.1,8.3,8.241,1.003,0.605,0.134,0.145,0.0216,9.303,10.493,3.88E+06,1.89E+05,0.00E+00,0.00E+00
5-21300001,6/19/2018,5,June,43.371344,-95.161174,Gull_Point_Beach,MILFORD,0.108,21.7,7.78,5.472,1.048,0.494,0.011,-0.002,0.0039,23.722,13.248,4.28E+06,0.00E+00,0.00E+00,0.00E+00
5-21040001,6/19/2018,5,June,40.869963,-92.915908,Honey_Creek_Resort_Beach,MORAVIA,0.39,8.8,8.2,4.93,0.985,0.582,0.015,0.062,0.0214,10.128,24.584,7.22E+06,5.86E+03,0.00E+00,0.00E+00
