Sample,Date,Week ,Month,LATITUDE_Y,LONGITUDE_X,Site,City,Microcystin,TDFe,pH,DOC,TKP,TKN,NH3,Nox,NO2,Cl,SO4,16S,Microcystis_mcyA,Anabaena_mcyA,Planktothrix_mcyA
11-21910001,7/31/2018,11,July,41.29261,-93.59564,Lake_Ahquabi_Beach,INDIANOLA,0.102,7.12,9.06,23.43,0.11,0.169,-0.061,-0.023,0.0015,1.971,8.762,9.52E+06,5.54E+03,0.00E+00,0.00E+00
11-21150001,7/31/2018,11,July,41.42801,-94.78194,Lake_Anita_Beach,ANITA,3.122,4.79,8.2,5.574,0.273,0.308,-0.0759,-0.227,-0.0039,3.86,8.424,2.95E+06,7.20E+04,0.00E+00,2.52E+04
11-21920001,7/31/2018,11,July,41.2015,-91.90524,Lake_Darling_Beach,BRIGHTON,2.37,8.36,9.2,6.706,0.131,0.266,0.2542,-0.036,0.0083,8.526,12.529,2.59E+07,8.15E+04,0.00E+00,0.00E+00
11-21620001,7/31/2018,11,July,41.29514,-92.53733,Lake_Keomah_Beach,OSKALOOSA,1.523,8.16,9,6.87,0.163,0.25,0.8359,-0.022,0.0064,8.029,22.148,1.11E+07,5.87E+04,0.00E+00,0.00E+00
11-21520001,7/31/2018,11,July,41.7935,-91.57311,Lake_Macbride_Beach,SOLON,0.157,4.76,8.8,4.0435,0.215,0.265,-0.0658,-0.206,-0.0015,19.01,13.519,1.12E+07,2.42E+03,0.00E+00,0.00E+00
11-21780001,7/31/2018,11,July,41.20518,-95.85738,Lake_Manawa_Beach,COUNCIL BLUFFS,0.6,12,8.79,4.451,0.123,0.221,-0.0685,-0.159,0.0065,18.451,19.95,9.52E+06,1.05E+04,0.00E+00,0.00E+00
11-21870001,7/31/2018,11,July,40.70991,-94.68961,Lake_of_Three_Fires_Beach,BEDFORD,0.345,7.09,8.7,9.965,0.116,0.252,-0.0788,-0.232,-0.0013,1.6,11.317,5.45E+06,1.34E+04,0.00E+00,0.00E+00
11-21260001,7/31/2018,11,July,40.81961,-92.57458,Lake_Wapello,DRAKESVILLE,0.203,5.26,8.7,7.865,0.137,0.205,0.6132,0.224,-0.0002,-1.806,9.813,2.27E+06,2.18E+03,0.00E+00,0.00E+00
11-21670001,7/31/2018,11,July,42.29637,-95.02906,Lewis_and_Clark,ONAWA,0.315,10.3,8.7,4.714,0.271,0.255,-0.0633,-0.211,0.0056,5.293,63.36,3.62E+06,2.33E+02,0.00E+00,0.00E+00
11-21420001,7/31/2018,11,July,42.36695,-93.07805,Lower_Pine_Lake_Beach,ELDORA,0.295,25.5,8.3,4.151,0.135,0.291,0.0576,2.077,0.0583,3.849,10.558,5.97E+06,9.47E+03,0.00E+00,0.00E+00
11-21170002,7/31/2018,11,July,43.120293,-93.458859,McIntosh_Woods_Beach,VENTURA,4.617,40.8,8.5,8.375,0.18,0.151,-0.0859,-0.007,-0.001,3.49,9.118,4.33E+06,8.11E+04,0.00E+00,6.80E+04
11-21270001,7/31/2018,11,July,40.59674,-93.7723,Nine_Eagles_Beach,DAVIS CITY,0.442,16.6,8.85,6.485,0.192,0.141,0.8359,-0.018,-0.0047,-2.895,3.471,6.14E+06,5.49E+02,0.00E+00,0.00E+00
11-21270001-Dup,7/31/2018,11,July,40.59674,-93.7723,Nine_Eagles_Beach,DAVIS CITY,0,16.5,,,,,,,,,,,,,
11-21130002,7/31/2018,11,July,42.479711,-94.633626,North_Twin_Lake_East_Beach ,ROCKWELL CITY,1.65,9.45,9.09,7.759,0.238,0.249,-0.0543,-0.129,0.0063,14.673,59.978,1.45E+06,0.00E+00,0.00E+00,0.00E+00
11-21130001,7/31/2018,11,July,42.47907,-94.636946,North_Twin_Lake_West_Beach ,ROCKWELL CITY,0.793,9.19,8.7,6.795,0.455,0.342,-0.0592,-0.205,0.0092,16.34,59.997,3.07E+06,1.24E+04,0.00E+00,0.00E+00
11-21130001-Dup,7/31/2018,11,July,42.47907,-94.636946,North_Twin_Lake_West_Beach ,ROCKWELL CITY,0,9.84,,,,,,,,,,,,,
11-21300002,7/31/2018,11,July,43.415488,-95.164669,Pikes_Point_Beach,MILFORD,0.407,50.5,8.6,6.357,0.082,0.201,-0.0296,-0.04,-0.0046,10.783,13.717,1.26E+07,6.66E+04,0.00E+00,0.00E+00
11-21830001,7/31/2018,11,July,41.60113,-95.22643,Prairie_Rose_Beach,HARLAN,0.725,9.05,9.49,6.433,0.178,0.214,-0.0674,-0.199,0.0065,5.238,14.772,3.45E+06,1.30E+04,0.00E+00,0.00E+00
11-21590001,7/31/2018,11,July,41.00091,-93.272,Red_Haw_Beach,CHARITON,0.695,13.1,8.5,9.093,0.107,0.138,0.9257,1.311,0.0011,-0.281,8.149,6.40E+06,1.43E+02,0.00E+00,0.00E+00
11-21500001,7/31/2018,11,July,41.73963,-92.85499,Rock_Creek_Beach,KELLOGG,1.455,16.5,8.4,8.158,0.087,0.195,0.9603,0.695,0.0874,3.783,19.039,1.41E+08,6.46E+05,0.00E+00,0.00E+00
11-21390001,7/31/2018,11,July,41.77603,-94.4667,Springbrook_Beach,GUTHRIE CENTER,0.373,10.2,8.81,1.475,0.311,0.236,-0.0694,1.885,0.0697,4.823,8.878,4.61E+06,1.03E+04,0.00E+00,0.00E+00
11-21300003,7/31/2018,11,July,42.128721,-92.72652,Triboji_Beach,MILFORD,0.54,12.3,8.7,5.694,0.095,0.163,1.2433,-0.012,-0.0022,10.469,13.286,1.72E+07,4.30E+04,0.00E+00,0.00E+00
11-21860001,7/31/2018,11,July,42.12505,-92.72008,Union_Grove_Beach,GLADBROOK,3.678,9.65,9.1,6.01,0.064,0.242,-0.0628,-0.116,0.0432,4.6,22.753,1.27E+07,9.58E+04,0.00E+00,0.00E+00
11-21860001-Dup,7/31/2018,11,July,42.12505,-92.72008,Union_Grove_Beach,GLADBROOK,0,11.4,,,,,,,,,,,,,
11-21690001,7/31/2018,11,July,40.976,-95.02935,Viking_Lake_Beach,STANTON,14.395,3.9,8.7,8.0985,0.181,0.256,-0.0679,-0.225,-0.0036,4.963,9.528,1.64E+06,5.79E+04,0.00E+00,0.00E+00
12-21280001,8/7/2018,12,August,42.601715,-91.534234,Backbone_Beach,DUNDEE,0.39,31.4,7.7,5.678,0.922,-0.24,0.0033,4.407862629,0.0279,7.969,20.022,2.66E+07,0.00E+00,0.00E+00,0.00E+00
12-21350001,8/7/2018,12,August,42.77043,-93.23654,Beeds_Lake,HAMPTON,0.488,15.2,8.2,4.2205,0.75,-0.172,0.0041,2.682,0.079961104,9.451,16.575,8.19E+06,5.17E+03,0.00E+00,0.00E+00
12-21770001,8/7/2018,12,August,41.79395,-93.73185,Big_Creek_Beach,POLK CITY,0.772,9.4,8.3,3.084,0.792,-0.242,0.0041,2.51049081,0.0615,11.812,18.409,8.49E+06,1.73E+04,0.00E+00,0.00E+00
12-21810002,8/7/2018,12,August,42.29637,-95.02906,Black_Hawk_Beach,LAKE VIEW,1.155,10.8,8.9,6.783,0.721,-0.229,0.0021,-0.244642872,0.0009,14.901,15.914,2.40E+06,3.07E+04,0.00E+00,1.36E+04
12-21940001,8/7/2018,12,August,42.38858,-93.97857,Brushy_Creek_Beach,LEHIGH,1.15,9.93,8.8,4.35,0.751,-0.228,-0.0043,4.831429773,0.2348,10.098,16.846,2.13E+07,5.51E+03,0.00E+00,0.00E+00
12-21170001,8/7/2018,12,August,43.12524,-93.41469,Clear_Lake,CLEAR LAKE,3.182,6.5,8.4,7.012,0.724,0.332,-0.037,-0.038,-0.002077079,11.745,8.527,1.60E+07,5.10E+04,0.00E+00,0.00E+00
12-21300005,8/7/2018,12,August,43.496339,-95.120872,Crandalls_Beach,MILFORD,7.19,15.9,9.03,6.279,0.765,0.229,-0.0406,0.287,0.004876248,12.93,17.684,6.35E+06,1.28E+05,0.00E+00,0.00E+00
12-21810001,8/7/2018,12,August,42.30153,-95.036022,Denison_Beach,LAKE VIEW,1.015,12.2,8.9,8.397,0.75,-0.16,-0.0223,-0.237854937,0.0014,14.778,14.863,3.14E+07,3.48E+04,0.00E+00,0.00E+00
12-21810001-Dup,8/7/2018,12,August,42.30153,-95.036022,Denison_Beach,LAKE VIEW,0,11.7,,,,,,,,,,,,,
12-21300004,8/7/2018,12,August,43.356726,-95.175393,Emerson_Bay_Beach,MILFORD,0.75,10.5,8.07,38.06,0.782,-0.126,-0.0388,-0.031,0.892697049,17.42,15.596,0.00E+00,0.00E+00,0.00E+00,0.00E+00
12-21070001,8/7/2018,12,August,42.53497,-92.40055,George_Wyth_Beach,WATERLOO,0.908,8,8.7,4.66,0.737,-0.225,-0.0289,-0.225814923,0.0008,41.943,16.465,7.14E+06,3.19E+04,0.00E+00,8.54E+04
12-21880001,8/7/2018,12,August,41.09832,-94.38405,Green_Valley_Beach,CRESTON,7.243,8.13,8.4,6.983,0.74,-0.244,-0.0127,-0.180205485,-0.0005,6.986,9.19,3.67E+06,7.59E+04,0.00E+00,0.00E+00
12-21300001,8/7/2018,12,August,43.371344,-95.161174,Gull_Point_Beach,MILFORD,0.637,14.1,8.07,5.727,0.741,-0.151,-0.0421,-0.036,-0.00388439,16.616,13.385,1.45E+07,9.02E+04,0.00E+00,0.00E+00
12-21040001,8/7/2018,12,August,40.869963,-92.915908,Honey_Creek_Resort_Beach,MORAVIA,0.425,2.69,8.88,5.613,0.704,0.062,-0.0368,-0.021,0.732320628,7.742,20.151,2.37E+07,2.92E+04,0.00E+00,0.00E+00
12-21890001,8/7/2018,12,August,40.7111,-91.96997,Lacey_Keosauqua_Beach,KEOSAUQUA,0.938,9.37,8.4,6.783,0.776,-0.181,-0.0422,-0.033,-0.006377615,1.623,22.893,1.06E+07,1.40E+04,0.00E+00,0.00E+00
12-21910001,8/7/2018,12,August,41.29261,-93.59564,Lake_Ahquabi_Beach,INDIANOLA,0.798,13.6,9.15,7.485,0.756,0.037,-0.0374,0.016,0.001204005,6.696,8.903,7.66E+06,0.00E+00,0.00E+00,0.00E+00
12-21150001,8/7/2018,12,August,41.42801,-94.78194,Lake_Anita_Beach,ANITA,2.39,5.21,8.4,5.402,0.75,-0.181,-0.0161,-0.249469848,-0.0025,7.828,8.557,7.65E+06,7.73E+04,0.00E+00,8.27E+04
12-21150001-Dup,8/7/2018,12,August,41.42801,-94.78194,Lake_Anita_Beach,ANITA,0,6.37,,,,,,,,,,,,,
12-21920001,8/7/2018,12,August,41.2015,-91.90524,Lake_Darling_Beach,BRIGHTON,0.947,13.4,8.9,7.543,0.824,0.176,-0.0299,-0.025,0.011898278,13.395,11.707,2.91E+07,3.20E+04,0.00E+00,0.00E+00
12-21620001,8/7/2018,12,August,41.29514,-92.53733,Lake_Keomah_Beach,OSKALOOSA,1.77,10.8,9.6,10.3,0.687,-0.135,-0.0308,-0.01,0.006473021,13.011,22.15,1.17E+07,6.69E+04,0.00E+00,0.00E+00
12-21620001-Dup,8/7/2018,12,August,41.29514,-92.53733,Lake_Keomah_Beach,OSKALOOSA,0,10.4,,,,,,,,,,,,,
12-21520001,8/7/2018,12,August,41.7935,-91.57311,Lake_Macbride_Beach,SOLON,0.572,5.27,8.8,4.182,0.672,-0.205,0.0303,-0.241242048,0.001,23.776,11.84,1.02E+07,0.00E+00,0.00E+00,0.00E+00
12-21780001,8/7/2018,12,August,41.20518,-95.85738,Lake_Manawa_Beach,COUNCIL BLUFFS,0.993,10.9,8.79,4.156,0.763,-0.236,-0.0114,-0.217559697,0.007,23.116,20.044,1.74E+07,2.39E+04,0.00E+00,0.00E+00
12-21870001,8/7/2018,12,August,40.70991,-94.68961,Lake_of_Three_Fires_Beach,BEDFORD,1.325,9.2,9.1,10.19,0.732,-0.232,-0.0223,-0.238897125,0.003,6.343,11.349,1.49E+07,0.00E+00,0.00E+00,0.00E+00
12-21260001,8/7/2018,12,August,40.81961,-92.57458,Lake_Wapello,DRAKESVILLE,0.46,3.02,8.7,7.707,0.757,-0.185,-0.0359,-0.011,-0.00169146,3.041,10.371,4.14E+07,2.91E+05,0.00E+00,2.07E+04
12-21670001,8/7/2018,12,August,42.29637,-95.02906,Lewis_and_Clark,ONAWA,0.822,10.4,8.74,8.206,0.8,-0.238,-0.002,-0.249606978,0.0066,7.505,72.012,9.90E+06,1.45E+04,0.00E+00,0.00E+00
12-21420001,8/7/2018,12,August,42.36695,-93.07805,Lower_Pine_Lake_Beach,ELDORA,0.613,15.9,8.4,4.168,0.873,0.309,0.0168,0.545,0.089562791,9.668,9.825,1.09E+07,2.52E+04,0.00E+00,0.00E+00
12-21170002,8/7/2018,12,August,43.120293,-93.458859,McIntosh_Woods_Beach,VENTURA,6.148,9.07,8.3,8.098,0.782,0.175,-0.032,-0.039,-0.004402981,10.236,7.86,5.32E+06,8.18E+03,0.00E+00,0.00E+00
12-21270001,8/7/2018,12,August,40.59674,-93.7723,Nine_Eagles_Beach,DAVIS CITY,0.52,4.73,9.13,5.83,0.739,-0.084,-0.0428,-0.041,-0.003967498,1.307,4.059,6.00E+06,0.00E+00,0.00E+00,0.00E+00
12-21130002,8/7/2018,12,August,42.479711,-94.633626,North_Twin_Lake_East_Beach ,ROCKWELL CITY,1.148,9.36,9.01,6.874,0.789,-0.19,-0.0056,-0.237196713,0.0092,18.861,57.631,8.40E+06,4.08E+04,0.00E+00,0.00E+00
12-21130001,8/7/2018,12,August,42.47907,-94.636946,North_Twin_Lake_West_Beach ,ROCKWELL CITY,1.525,9.54,8.09,6.953,0.735,-0.004,-0.0016,-0.227117658,0.0089,18.487,61.614,6.33E+06,3.08E+04,0.00E+00,0.00E+00
12-21300002,8/7/2018,12,August,43.415488,-95.164669,Pikes_Point_Beach,MILFORD,0.925,13.1,8.86,5.172,0.74,-0.176,-0.0406,-0.035,-0.004941518,16.331,13.741,1.05E+07,1.13E+05,0.00E+00,0.00E+00
12-21830001,8/7/2018,12,August,41.60113,-95.22643,Prairie_Rose_Beach,HARLAN,1.145,9.62,9.36,5.786,0.774,-0.21,-0.0156,-0.235235754,0.0064,10.316,14.863,5.23E+06,2.11E+05,0.00E+00,0.00E+00
12-21590001,8/7/2018,12,August,41.00091,-93.272,Red_Haw_Beach,CHARITON,1.03,8.12,8.29,7.515,0.788,-0.225,0.0026,1.122,0.179358783,3.853,6.973,1.54E+07,0.00E+00,0.00E+00,0.00E+00
12-21590001-Dup,8/7/2018,12,August,41.00091,-93.272,Red_Haw_Beach,CHARITON,0,7.85,,,,,,,,,,,,,
12-21500001,8/7/2018,12,August,41.73963,-92.85499,Rock_Creek_Beach,KELLOGG,1.265,10.6,8.3,4.592,0.741,-0.156,0.0059,1.171,0.177314338,9.301,16.758,1.47E+08,6.39E+05,0.00E+00,0.00E+00
12-21390001,8/7/2018,12,August,41.77603,-94.4667,Springbrook_Beach,GUTHRIE CENTER,0.623,10,8.87,3.333,0.79,-0.244,-0.0159,0.972523008,0.0712,7.198,9.495,4.79E+06,7.49E+03,0.00E+00,0.00E+00
12-21300003,8/7/2018,12,August,42.128721,-92.72652,Triboji_Beach,MILFORD,0.61,15.2,8.7,5.295,0.72,-0.215,-0.0385,-0.043,-0.004527088,16.589,14.024,1.39E+07,8.21E+04,0.00E+00,0.00E+00
12-21860001,8/7/2018,12,August,42.12505,-92.72008,Union_Grove_Beach,GLADBROOK,4.967,9.68,9.1,4.834,0.765,-0.24,-0.0064,-0.216119832,0.0189,10.069,15.412,1.28E+06,0.00E+00,0.00E+00,0.00E+00
12-21690001,8/7/2018,12,August,40.976,-95.02935,Viking_Lake_Beach,STANTON,20,5.8,8.7,7.771,0.682,-0.182,0.0243,-0.254680788,0.0009,8.04,9.396,7.16E+06,1.94E+05,0.00E+00,0.00E+00
13-21280001,8/14/2018,13,August,42.601715,-91.534234,Backbone_Beach,DUNDEE,0.405,15.2,8,1.499,1.147,0.298,-0.042,6.002,0.0416,16.958,25.086,4.46E+07,0.00E+00,0.00E+00,0.00E+00
13-21350001,8/14/2018,13,August,42.77043,-93.23654,Beeds_Lake,HAMPTON,0.635,13.8,7.7,4.01,1.065,0.438,0.3533,1.647,0.088,14.101,23.534,1.41E+07,4.86E+04,0.00E+00,0.00E+00
13-21350001-Dup,8/14/2018,13,August,42.77043,-93.23654,Beeds_Lake,HAMPTON,0,13.8,,,,,,,,,,,,,
13-21770001,8/14/2018,13,August,41.79395,-93.73185,Big_Creek_Beach,POLK CITY,0.433,13.4,9.1,3.7945,1.134,0.292,-0.0201,2.527,0.0598,15.621,15.27,2.11E+07,8.46E+03,0.00E+00,0.00E+00
13-21810002,8/14/2018,13,August,42.29637,-95.02906,Black_Hawk_Beach,LAKE VIEW,0.575,6.73,8.3,7.068,1.141,0.291,-0.0089,0.268,0.0076,19.634,18.929,2.35E+07,1.07E+04,0.00E+00,0.00E+00
13-21940001,8/14/2018,13,August,42.38858,-93.97857,Brushy_Creek_Beach,LEHIGH,0.748,11.2,8.4,4.671,1.136,0.388,-0.0366,5.598,0.2012,13.32,16.692,1.41E+07,1.18E+04,0.00E+00,0.00E+00
13-21170001,8/14/2018,13,August,43.12524,-93.41469,Clear_Lake,CLEAR LAKE,6.32,7.26,8.4,6.501,1.049,0.32,-0.0225,-0.002,0.005,15.361,12.88,2.25E+06,3.65E+04,0.00E+00,0.00E+00
13-21300005,8/14/2018,13,August,43.496339,-95.120872,Crandalls_Beach,MILFORD,2.088,10.4,8.5,5.244,1.101,0.279,-0.0339,0.181,0.0083,16.764,18.88,6.41E+06,1.75E+05,0.00E+00,0.00E+00
13-21810001,8/14/2018,13,August,42.30153,-95.036022,Denison_Beach,LAKE VIEW,0.38,9.51,8.6,7.162,1.148,0.307,-0.0344,0.277,0.0101,19.522,18.466,1.28E+07,2.74E+04,0.00E+00,0.00E+00
13-21300004,8/14/2018,13,August,43.356726,-95.175393,Emerson_Bay_Beach,MILFORD,0.338,11.2,8.1,5.264,1.021,0.312,-0.0448,0.029,0.0006,23.611,16.481,2.41E+07,3.75E+04,0.00E+00,0.00E+00
13-21300004-Dup,8/14/2018,13,August,43.356726,-95.175393,Emerson_Bay_Beach,MILFORD,0,6.67,,,,,,,,,,,,,
13-21070001,8/14/2018,13,August,42.53497,-92.40055,George_Wyth_Beach,WATERLOO,1.097,9.48,9,5.509,1.1,0.316,-0.0374,0.248,0.0051,54.052,17.65,8.70E+06,3.23E+04,0.00E+00,1.54E+05
13-21880001,8/14/2018,13,August,41.09832,-94.38405,Green_Valley_Beach,CRESTON,4.688,11.6,9.1,6.388,1.115,0.253,-0.0198,0.29,0.0048,9.649,9.653,7.43E+06,1.83E+05,0.00E+00,0.00E+00
13-21300001,8/14/2018,13,August,43.371344,-95.161174,Gull_Point_Beach,MILFORD,0.538,10.4,8.1,5.883,1.063,0.289,-0.0376,0.019,0,23.632,18.116,2.25E+07,7.26E+04,0.00E+00,0.00E+00
13-21040001,8/14/2018,13,August,40.869963,-92.915908,Honey_Creek_Resort_Beach,MORAVIA,0.433,9.88,8.72,24.65,1.12,0.277,-0.0389,0.009,0.0024,10.756,20.5,8.55E+06,1.07E+04,0.00E+00,0.00E+00
13-21890001,8/14/2018,13,August,40.7111,-91.96997,Lacey_Keosauqua_Beach,KEOSAUQUA,0.29,11.3,8.4,6.6135,1.039,0.208,0.5995,0.015,0.0014,2.8,41.075,1.19E+07,1.11E+04,0.00E+00,0.00E+00
13-21910001,8/14/2018,13,August,41.29261,-93.59564,Lake_Ahquabi_Beach,INDIANOLA,0.317,9.2,8.62,24.8,1.055,0.169,0.5721,0.01,0.0047,11.042,9.734,6.47E+06,0.00E+00,0.00E+00,0.00E+00
13-21150001,8/14/2018,13,August,41.42801,-94.78194,Lake_Anita_Beach,ANITA,1.305,9.33,9,5.407,1.106,0.269,0.0127,0.269,0.0013,10.408,8.923,5.52E+06,3.22E+04,0.00E+00,7.69E+04
13-21920001,8/14/2018,13,August,41.2015,-91.90524,Lake_Darling_Beach,BRIGHTON,0.473,10.7,9.2,7.612,1.15,0.174,0.4547,0.064,0.0191,21.529,16.311,3.78E+07,3.28E+04,0.00E+00,0.00E+00
13-21920001-Dup,8/14/2018,13,August,41.2015,-91.90524,Lake_Darling_Beach,BRIGHTON,0,9.75,,,,,,,,,,,,,
13-21620001,8/14/2018,13,August,41.29514,-92.53733,Lake_Keomah_Beach,OSKALOOSA,1.082,11,9.9,10.71,1.143,0.199,0.3901,0.026,0.0184,20.8,27.952,5.40E+06,2.58E+04,0.00E+00,0.00E+00
13-21520001,8/14/2018,13,August,41.7935,-91.57311,Lake_Macbride_Beach,SOLON,0.57,10.2,8.4,4.5195,1.094,0.27,-0.0339,0.255,0.0023,30.833,13.045,1.58E+07,0.00E+00,0.00E+00,0.00E+00
13-21780001,8/14/2018,13,August,41.20518,-95.85738,Lake_Manawa_Beach,COUNCIL BLUFFS,1.203,9.48,8.76,4.123,1.228,0.23,-0.0351,0.277,0.0113,29.574,20.278,4.59E+06,2.29E+04,0.00E+00,0.00E+00
13-21870001,8/14/2018,13,August,40.70991,-94.68961,Lake_of_Three_Fires_Beach,BEDFORD,0.803,6.28,8.97,10.27,1.064,0.305,0.0437,0.282,0.0086,8.212,13.693,8.90E+06,8.71E+03,0.00E+00,0.00E+00
13-21260001,8/14/2018,13,August,40.81961,-92.57458,Lake_Wapello,DRAKESVILLE,0.46,11.3,8.6,7.962,1.12,0.273,-0.0417,0.034,0.0048,4.184,13.487,3.41E+06,7.10E+03,0.00E+00,0.00E+00
13-21670001,8/14/2018,13,August,42.29637,-95.02906,Lewis_and_Clark,ONAWA,0.82,11.2,8.69,9.54,1.181,0.25,-0.0399,0.27,0.0087,9.879,61.712,2.06E+07,0.00E+00,0.00E+00,0.00E+00
13-21670001-Dup,8/14/2018,13,August,42.29637,-95.02906,Lewis_and_Clark,ONAWA,0,13,,,,,,,,,,,,,
13-21420001,8/14/2018,13,August,42.36695,-93.07805,Lower_Pine_Lake_Beach,ELDORA,0.442,8.97,8.5,7.19,1.071,0.269,0.0024,0.009,0.0019,6.483,8.543,8.79E+06,1.93E+04,0.00E+00,0.00E+00
13-21170002,8/14/2018,13,August,43.120293,-93.458859,McIntosh_Woods_Beach,VENTURA,2.832,13.6,8.4,7.881,1.185,0.228,-0.0297,0.039,-0.001,13.686,10.205,5.36E+06,1.63E+05,0.00E+00,0.00E+00
13-21270001,8/14/2018,13,August,40.59674,-93.7723,Nine_Eagles_Beach,DAVIS CITY,0.52,11.2,8.81,6.2015,1.031,0.282,-0.0311,-0.001,-0.001,1.484,5.241,9.62E+06,0.00E+00,0.00E+00,0.00E+00
13-21130002,8/14/2018,13,August,42.479711,-94.633626,North_Twin_Lake_East_Beach ,ROCKWELL CITY,1.3,13.6,8.7,6.454,1.091,0.307,-0.0213,0.279,0.0132,24.404,62.849,7.74E+06,4.04E+04,0.00E+00,0.00E+00
13-21130001,8/14/2018,13,August,42.47907,-94.636946,North_Twin_Lake_West_Beach ,ROCKWELL CITY,1.617,14.7,8.6,6.524,1.004,0.334,-0.0378,0.292,0.0149,24.301,59.457,7.72E+06,6.18E+04,0.00E+00,0.00E+00
13-21300002,8/14/2018,13,August,43.415488,-95.164669,Pikes_Point_Beach,MILFORD,1.125,13.8,8.2,5.201,1.021,0.329,0.0271,0.035,0.0009,23.427,15.949,2.09E+07,4.83E+04,0.00E+00,0.00E+00
13-21830001,8/14/2018,13,August,41.60113,-95.22643,Prairie_Rose_Beach,HARLAN,0.717,8.56,9.11,5.603,1.172,0.303,-0.0389,0.263,0.0105,13.749,13.966,5.28E+06,5.42E+03,0.00E+00,0.00E+00
13-21590001,8/14/2018,13,August,41.00091,-93.272,Red_Haw_Beach,CHARITON,0.863,15.1,7.84,4.284,1.174,0.368,0.0826,0.06,0.0223,14.961,10.551,1.87E+07,0.00E+00,0.00E+00,0.00E+00
13-21500001,8/14/2018,13,August,41.73963,-92.85499,Rock_Creek_Beach,KELLOGG,1.263,11.1,8.7,4.075,1.17,0.241,0.5134,0.671,0.1646,13.603,18.363,2.10E+07,1.16E+05,0.00E+00,0.00E+00
13-21390001,8/14/2018,13,August,41.77603,-94.4667,Springbrook_Beach,GUTHRIE CENTER,0.425,15.1,9.09,3.735,1.092,0.292,-0.0334,1.002,0.0601,8.769,11.287,4.75E+06,6.75E+03,0.00E+00,0.00E+00
13-21300003,8/14/2018,13,August,42.128721,-92.72652,Triboji_Beach,MILFORD,0.33,13.8,8.3,5.256,1.117,0.283,-0.0438,0.044,0.0025,23.648,16.829,1.86E+07,1.92E+04,0.00E+00,0.00E+00
13-21860001,8/14/2018,13,August,42.12505,-92.72008,Union_Grove_Beach,GLADBROOK,1.743,10.7,9.1,4.14,1.066,0.309,-0.0309,0.259,0.004,12.758,13.232,2.94E+07,1.45E+05,0.00E+00,2.87E+04
13-21690001,8/14/2018,13,August,40.976,-95.02935,Viking_Lake_Beach,STANTON,20,14,9.1,9.206,1.073,0.302,-0.0504,0.281,0.0076,8.967,11.276,2.21E+06,6.83E+04,0.00E+00,0.00E+00
14-21280001,8/21/2018,14,August,42.601715,-91.534234,Backbone_Beach,DUNDEE,0.438,16.5,8.9,2.151,1.064,0.169,0.4391,7.496,0.0364,16.674,23.57,4.04E+07,0.00E+00,0.00E+00,0.00E+00
14-21350001,8/21/2018,14,August,42.77043,-93.23654,Beeds_Lake,HAMPTON,0.377,18.6,7.8,4.764,1.224,0.197,0.5078,8.327,0.0445,15.852,18.626,3.31E+07,3.82E+04,0.00E+00,0.00E+00
14-21770001,8/21/2018,14,August,41.79395,-93.73185,Big_Creek_Beach,POLK CITY,0.69,12.9,8.9,4.245,1.068,0.187,0.0357,1.937,0.0636,16.299,11.527,4.82E+06,0.00E+00,0.00E+00,0.00E+00
14-21810002,8/21/2018,14,August,42.29637,-95.02906,Black_Hawk_Beach,LAKE VIEW,0.69,14.5,8.3,7.837,1.022,0.193,0.049,0.013,0.0169,19.905,15.965,1.88E+08,5.89E+04,0.00E+00,0.00E+00
14-21940001,8/21/2018,14,August,42.38858,-93.97857,Brushy_Creek_Beach,LEHIGH,1.628,13.5,8.2,5.597,1.049,0.172,0.0934,4.854,0.176,14.482,16.828,4.44E+06,3.35E+04,0.00E+00,0.00E+00
14-21170001,8/21/2018,14,August,43.12524,-93.41469,Clear_Lake,CLEAR LAKE,6.108,11.8,8.6,8.03,1.036,0.166,0.0139,0.105,0.009,16.223,8.895,1.40E+06,1.09E+04,0.00E+00,0.00E+00
14-21170001-Dup,8/21/2018,14,August,43.12524,-93.41469,Clear_Lake,CLEAR LAKE,0,,,,,,,,,,,,,,
14-21300005,8/21/2018,14,August,43.496339,-95.120872,Crandalls_Beach,MILFORD,2.615,13,8.5,6.832,1.045,0.164,0.1114,-0.04,0.0055,18.62,14.08,7.36E+06,2.28E+05,0.00E+00,0.00E+00
14-21810001,8/21/2018,14,August,42.30153,-95.036022,Denison_Beach,LAKE VIEW,0.433,13.5,8.4,7.755,1.166,0.171,0.0137,0.025,0.0122,19.612,13.675,1.19E+08,6.48E+04,0.00E+00,0.00E+00
14-21300004,8/21/2018,14,August,43.356726,-95.175393,Emerson_Bay_Beach,MILFORD,0.625,13.8,8.3,34.45,1.091,0.154,-0.0092,-0.035,0.0069,24.509,13.024,9.57E+06,3.70E+04,0.00E+00,0.00E+00
14-21070001,8/21/2018,14,August,42.53497,-92.40055,George_Wyth_Beach,WATERLOO,0.65,16.5,8.8,7.456,1.117,0.162,0.0427,0.025,0.0057,53.878,17.04,3.55E+06,1.75E+04,0.00E+00,3.00E+04
14-21070001-Dup,8/21/2018,14,August,42.53497,-92.40055,George_Wyth_Beach,WATERLOO,0,16.1,,,,,,,,,,,,,
14-21880001,8/21/2018,14,August,41.09832,-94.38405,Green_Valley_Beach,CRESTON,6.922,14.4,8.3,9.226,1.118,0.139,0.0413,-0.027,0.0116,10.587,8.987,8.09E+06,3.31E+05,0.00E+00,0.00E+00
